,City,Country,Latitude,Longitude,Date,MaxTemp,Humidity,Cloudiness,WindSpeed
0,Albany,US,42.6001,-73.9662,1637097455,42.75,76,89,1.01
1,Chui,UY,-33.6971,-53.4616,1637097717,61.63,92,100,17.92
2,Mataura,NZ,-46.1927,168.8643,1637097718,45.95,99,100,8.05
3,Port Macquarie,AU,-31.4333,152.9167,1637097477,66.88,66,93,4.7
4,Lodeynoye Pole,RU,60.726,33.5531,1637097718,38.79,93,100,6.22
5,Beira,MZ,-19.8436,34.8389,1637097719,75.29,94,0,8.05
6,Chiredzi,ZW,-21.05,31.6667,1637097719,83.61,31,53,8.19
7,Bengkulu,ID,-3.8004,102.2655,1637097720,74.86,83,45,3.4
8,Arraial do Cabo,BR,-22.9661,-42.0278,1637097692,73.36,73,0,14.97
9,Khatanga,RU,71.9667,102.5,1637097720,-33.72,100,23,3.13
10,Lorengau,PG,-2.0226,147.2712,1637097720,81.72,73,94,3.98
11,Acarí,PE,-15.4311,-74.6158,1637097721,74.08,55,60,9.28
12,Arkansas City,US,37.062,-97.0384,1637097600,78.42,50,1,19.57
13,Ushuaia,AR,-54.8,-68.3,1637097695,53.26,43,75,20.71
14,Aknada,RU,42.4016,46.1723,1637097722,20.86,74,18,6.08
15,Bethel,US,41.3712,-73.414,1637097722,46.98,53,75,3.44
16,Atar,MR,20.5169,-13.0499,1637097722,80.92,28,100,11.21
17,Hermanus,ZA,-34.4187,19.2345,1637097723,63.9,79,90,8.19
18,Torbay,CA,47.6666,-52.7314,1637097723,44.58,80,20,23.02
19,Atuona,PF,-9.8,-139.0333,1637097724,77.92,76,18,14.32
20,Hasaki,JP,35.7333,140.8333,1637097724,50.4,62,100,14.97
21,Busselton,AU,-33.65,115.3333,1637097725,56.08,83,98,10.89
22,Sept-Îles,CA,50.2001,-66.3821,1637097584,36.05,70,75,11.01
23,Gao,ML,16.6362,1.637,1637097725,80.33,18,3,8.86
24,Kahului,US,20.8947,-156.47,1637097722,86.02,72,20,8.05
25,Bambous Virieux,MU,-20.3428,57.7575,1637097726,73.65,83,75,2.3
26,Port Hawkesbury,CA,45.6169,-61.3485,1637097726,39.69,75,90,10.0
27,Alofi,NU,-19.0595,-169.9187,1637097726,78.69,65,75,17.27
28,Hamilton,US,39.1834,-84.5333,1637097499,60.24,60,1,1.01
29,Forécariah,GN,9.4306,-13.0881,1637097727,82.26,88,5,2.19
30,Ahipara,NZ,-35.1667,173.1667,1637097727,66.69,70,100,9.28
31,Severo-Kuril'sk,RU,50.6789,156.125,1637097728,32.85,69,96,9.89
32,La Resolana,MX,19.6,-104.4333,1637097728,83.66,39,62,5.61
33,Esperance,AU,-33.8667,121.9,1637097728,60.64,83,42,13.38
34,Rikitea,PF,-23.1203,-134.9692,1637097729,74.57,75,7,16.02
35,Hong Kong,HK,22.2855,114.1577,1637097499,73.33,80,66,4.0
36,Saint Paul Harbor,US,57.79,-152.4072,1637097729,31.51,64,90,18.41
37,Pangody,RU,65.85,74.4859,1637097729,-0.18,99,98,6.71
38,Kota Kinabalu,MY,5.9749,116.0724,1637097730,75.18,94,20,5.75
39,Egvekinot,RU,66.3167,-179.1667,1637097730,1.76,86,30,7.45
40,Norman Wells,CA,65.282,-126.8329,1637097730,-0.36,78,75,2.3
41,Basco,PH,20.4487,121.9702,1637097731,78.04,74,78,25.75
42,Hauterive,FR,46.0901,3.4459,1637097731,43.56,85,100,2.37
43,Punta Arenas,CL,-53.15,-70.9167,1637097732,51.91,58,75,28.77
44,Pijijiapan,MX,15.7011,-93.23,1637097732,89.11,49,37,2.17
45,Dano,BF,11.15,-3.0667,1637097732,84.25,18,86,2.35
46,Pontian Kecil,MY,1.4801,103.3899,1637097733,80.73,89,97,5.41
47,Santa Cruz de la Sierra,BO,-17.8,-63.1667,1637097733,77.05,83,75,8.05
48,Tasiilaq,GL,65.6145,-37.6368,1637097733,24.96,62,10,6.46
49,Yarensk,RU,62.1675,49.0916,1637097734,20.52,91,99,7.36
50,Hithadhoo,MV,-0.6,73.0833,1637097734,81.61,78,18,17.29
51,Maţāy,EG,28.419,30.7792,1637097735,70.72,51,86,9.57
52,East London,ZA,-33.0153,27.9116,1637097735,64.29,86,100,13.29
53,Huntsville,US,34.7304,-86.5861,1637097561,73.42,68,75,1.99
54,Geraldton,AU,-28.7667,114.6,1637097736,54.01,94,40,9.22
55,Lüderitz,NA,-26.6481,15.1594,1637097736,64.49,73,7,19.8
56,Sitka,US,57.0531,-135.33,1637097684,40.89,75,90,19.57
57,Shimokizukuri,JP,40.8061,140.3861,1637097736,48.11,59,100,9.82
58,Port Alfred,ZA,-33.5906,26.891,1637097737,64.53,79,100,15.68
59,Superior,US,46.7208,-92.1041,1637097737,40.69,66,1,10.36
60,Tezu,IN,27.9167,96.1667,1637097552,61.57,34,0,4.47
61,Padang,ID,-0.9492,100.3543,1637097738,75.79,71,72,4.07
62,Kurchum,KZ,48.5722,83.6542,1637097738,30.92,69,100,2.55
